fles,LocFixing,ChurnFxing,AddedFixing,RemovedFixing
/components/comlanguages/models/language.php,128,72,32,40
/components/comlanguages/models/languages.php,137,2,1,1
/components/comlanguages/models/override.php,64,2,1,1
/components/comlanguages/models/overrides.php,135,3,2,1
/components/comlanguages/models/strings.php,115,3,2,1
/views/installed/tmpl/defaultftp.php,100,4,2,2
/comlanguages/views/installed/view.html.php,57,57,53,4
/comlanguages/views/language/tmpl/edit.php,135,32,26,6
/comlanguages/views/language/view.html.php,279,13,12,1
/comlanguages/views/languages/view.html.php,98,3,1,2
/views/multilangstatus/view.html.php,116,7,5,2
/comlanguages/views/override/tmpl/edit.php,128,2,1,1
/comlanguages/views/override/view.html.php,135,4,2,2
/comlanguages/views/overrides/view.html.php,244,10,5,5
administrator/components/comlogin/controller.php,77,7,4,3
administrator/components/comlogin/login.php,24,2,1,1
/components/comlogin/models/login.php,24,2,1,1
/comlogin/views/login/view.html.php,24,2,1,1
administrator/components/commedia/controller.php,40,2,1,1
/commedia/controllers/file.json.php,42,2,1,1
/components/commedia/controllers/file.php,38,26,9,17
/components/commedia/controllers/folder.php,40,26,9,17
administrator/components/commedia/media.php,80,4,2,2
/components/commedia/models/list.php,67,42,27,15
/components/commedia/models/manager.php,193,52,40,12
/commedia/views/images/tmpl/default.php,90,2,1,1
/commedia/views/images/view.html.php,120,19,19,0
/commedia/views/imageslist/view.html.php,126,7,1,6
/commedia/views/media/tmpl/default.php,130,8,2,6
/commedia/views/media/view.html.php,83,7,1,6
/commedia/views/medialist/view.html.php,113,7,1,6
administrator/components/commenus/controller.php,105,7,1,6
/components/commenus/controllers/item.php,171,8,2,6
/components/commenus/controllers/items.php,51,1,0,1
/components/commenus/controllers/menu.php,107,2,1,1
/components/commenus/controllers/menus.php,17,4,2,2
/components/commenus/helpers/html/menus.php,18,19,19,0
/components/commenus/helpers/menus.php,17,2,1,1
administrator/components/commenus/menus.php,18,9,7,2
/commenus/models/fields/menutype.php,18,2,1,1
/components/commenus/models/item.php,139,40,26,14
/components/commenus/models/items.php,88,4,2,2
/components/commenus/models/menus.php,236,6,3,3
/components/commenus/models/menutypes.php,17,2,1,1
/components/commenus/views/item/tmpl/edit.php,139,12,10,2
/commenus/views/item/tmpl/editmodules.php,18,4,2,2
/components/commenus/views/item/view.html.php,34,28,16,12
/commenus/views/items/tmpl/default.php,165,39,30,9
/commenus/views/items/view.html.php,51,25,18,7
/components/commenus/views/menu/view.html.php,230,10,2,8
/commenus/views/menus/view.html.php,193,2,1,1
/commenus/views/menutypes/view.html.php,205,16,13,3
/components/commessages/controller.php,174,24,12,12
/commessages/controllers/config.php,90,2,1,1
/commessages/controllers/messages.php,34,1,0,1
/commessages/helpers/html/messages.php,51,2,1,1
/components/commessages/helpers/messages.php,29,2,1,1
/components/commessages/messages.php,165,57,37,20
/components/commessages/models/message.php,42,14,14,0
/commessages/views/config/view.html.php,40,8,8,0
/commessages/views/message/view.html.php,117,35,1,34
/commessages/views/messages/view.html.php,207,28,26,2
/components/commodules/controller.php,143,6,6,0
/components/commodules/controllers/module.php,139,2,1,1
/commodules/controllers/modules.php,187,2,1,1
/components/commodules/helpers/modules.php,193,66,33,33
/components/commodules/helpers/xml.php,234,2,1,1
/commodules/models/fields/moduleorder.php,90,4,2,2
/components/commodules/models/modules.php,139,2,1,1
administrator/components/commodules/modules.php,36,2,1,1
/views/module/tmpl/editassignment.php,41,4,3,1
/commodules/views/module/view.html.php,242,6,2,4
/commodules/views/modules/tmpl/default.php,33,4,3,1
/commodules/views/modules/view.html.php,33,4,3,1
/commodules/views/positions/view.html.php,240,6,2,4
/commodules/views/preview/view.html.php,180,7,3,4
/commodules/views/select/view.html.php,66,7,4,3
/components/comnewsfeeds/controller.php,180,2,1,1
/comnewsfeeds/controllers/newsfeed.php,175,2,1,1
/comnewsfeeds/helpers/newsfeeds.php,13,6,3,3
/components/comnewsfeeds/newsfeeds.php,13,6,3,3
/components/comnewsfeeds/tables/newsfeed.php,21,2,2,0
/comnewsfeeds/views/newsfeed/view.html.php,42,8,4,4
/comnewsfeeds/views/newsfeeds/view.html.php,48,17,9,8
/components/complugins/controller.php,48,17,9,8
/complugins/controllers/plugins.php,48,17,9,8
/components/complugins/helpers/plugins.php,48,17,9,8
/components/complugins/models/plugin.php,175,1,1,0
administrator/components/complugins/plugins.php,105,6,5,1
/complugins/views/plugin/view.html.php,60,15,12,3
/complugins/views/plugins/view.html.php,182,8,6,2
/components/comredirect/controller.php,268,10,8,2
/components/comredirect/controllers/links.php,270,10,8,2
/components/comredirect/helpers/redirect.php,86,22,11,11
/components/comredirect/models/links.php,85,22,11,11
/components/comredirect/redirect.php,70,10,7,3
/comredirect/views/link/tmpl/edit.php,17,4,4,0
/comredirect/views/link/view.html.php,98,4,2,2
/comredirect/views/links/tmpl/default.php,159,2,1,1
/comredirect/views/links/view.html.php,56,2,1,1
/components/comsearch/controller.php,64,7,6,1
/comsearch/controllers/searches.php,277,8,7,1
/components/comsearch/helpers/search.php,43,1,1,0
/components/comsearch/models/searches.php,277,6,5,1
administrator/components/comsearch/search.php,43,1,1,0
/comsearch/views/searches/view.html.php,87,10,9,1
/components/comtemplates/controller.php,68,1,1,0
/comtemplates/controllers/source.php,235,1,1,0
/comtemplates/controllers/styles.php,57,12,12,0
/comtemplates/controllers/template.php,25,9,5,4
/comtemplates/helpers/templates.php,25,4,2,2
/components/comtemplates/models/styles.php,177,2,1,1
/components/comtemplates/models/template.php,108,4,2,2
/components/comtemplates/templates.php,89,4,2,2
/comtemplates/views/prevuuw/view.html.php,67,56,27,29
/comtemplates/views/source/tmpl/editftp.php,16,6,3,3
/comtemplates/views/source/view.html.php,195,126,64,62
/comtemplates/views/style/view.html.php,210,12,9,3
/comtemplates/views/styles/view.html.php,57,8,4,4
/comtemplates/views/template/tmpl/default.php,195,25,7,18
/comtemplates/views/template/view.html.php,15,4,2,2
/comtemplates/views/templates/view.html.php,55,4,2,2
administrator/components/comusers/controller.php,91,15,8,7
/components/comusers/controllers/config.php,126,5,5,0
/components/comusers/controllers/level.php,130,7,5,2
/components/comusers/controllers/mail.php,119,5,5,0
/components/comusers/controllers/user.php,105,18,9,9
/components/comusers/controllers/users.php,171,5,5,0
/components/comusers/helpers/users.php,267,111,69,42
/components/comusers/models/group.php,189,1,1,0
/components/comusers/models/level.php,206,2,1,1
/components/comusers/models/user.php,195,33,33,0
/components/comusers/models/users.php,77,13,12,1
administrator/components/comusers/users.php,196,1,1,0
/comusers/views/debuggroup/view.html.php,79,24,24,0
/comusers/views/debuguser/view.html.php,253,88,68,20
/comusers/views/group/view.html.php,99,2,2,0
/comusers/views/groups/view.html.php,92,1,1,0
/comusers/views/level/view.html.php,127,3,2,1
/comusers/views/levels/view.html.php,137,17,12,5
/components/comusers/views/mail/view.html.php,105,10,5,5
/components/comusers/views/note/view.html.php,139,8,4,4
/comusers/views/notes/tmpl/default.php,256,5,4,1
/comusers/views/notes/view.html.php,139,6,3,3
/components/comusers/views/user/view.html.php,191,33,22,11
/comusers/views/users/tmpl/defaultbatch.php,34,1,1,0
/comusers/views/users/view.html.php,28,1,0,1
/components/comweblinks/controller.php,261,2,1,1
/comweblinks/controllers/weblink.php,66,29,28,1
/components/comweblinks/helpers/weblinks.php,85,7,6,1
/components/comweblinks/tables/weblink.php,234,4,2,2
/comweblinks/views/weblink/view.html.php,40,4,2,2
/comweblinks/views/weblinks/view.html.php,40,4,2,2
/components/comweblinks/weblinks.php,45,1,1,0
administrator/includes/defines.php,66,2,1,1
administrator/includes/helper.php,30,1,1,0
administrator/modules/modfeed/helper.php,86,1,1,0
administrator/modules/modlatest/helper.php,53,2,2,0
administrator/modules/modlogin/helper.php,29,1,1,0
/modules/modmenu/tmpl/defaultenabled.php,92,1,1,0
administrator/modules/modpopular/helper.php,87,4,4,0
administrator/modules/modtitle/modtitle.php,133,22,16,6
/hathor/html/combanners/banners/default.php,228,16,13,3
/hathor/html/comcache/cache/default.php,51,4,4,0
/hathor/html/comcontent/article/edit.php,28,9,8,1
/hathor/html/comcontent/articles/modal.php,139,22,12,10
/hathor/html/cominstaller/manage/default.php,34,46,27,19
/html/comlanguages/languages/default.php,208,26,14,12
/templates/hathor/html/commenus/item/edit.php,160,74,40,34
/hathor/html/commenus/items/default.php,160,57,31,26
/hathor/html/commodules/modules/default.php,147,60,32,28
/hathor/html/comusers/notes/default.php,152,59,32,27
build/build.php,32,10,5,5
/Sniffs/Classes/InstantiateNewClassesSniff.php,44,2,1,1
/ControlStructures/ElseIfDeclarationSniff.php,63,35,23,12
/Joomla/Sniffs/PHP/LowerCaseConstantSniff.php,39,4,2,2
/WhiteSpace/SuperfluousWhitespaceSniff.php,92,34,20,14
cli/finderindexer.php,32,11,10,1
cli/garbagecron.php,44,35,22,13
cli/updatecron.php,14,16,11,5
components/combanners/banners.php,77,21,15,6
components/combanners/controller.php,92,27,15,12
components/combanners/models/banner.php,86,2,1,1
components/combanners/models/banners.php,45,2,1,1
components/comcontact/contact.php,204,2,0,2
components/comcontact/controller.php,86,16,8,8
components/comcontact/controllers/contact.php,86,2,1,1
components/comcontact/models/categories.php,161,150,0,150
components/comcontact/models/category.php,81,24,14,10
components/comcontact/models/contact.php,260,11,8,3
components/comcontact/models/featured.php,260,6,3,3
components/comcontact/router.php,147,6,6,0
/comcontact/views/categories/tmpl/default.php,61,2,1,1
/comcontact/views/categories/view.html.php,42,70,15,55
/comcontact/views/category/tmpl/default.php,41,61,57,4
/views/category/tmpl/defaultitems.php,56,1,1,0
/comcontact/views/category/view.feed.php,142,7,4,3
/comcontact/views/category/view.html.php,160,10,7,3
/comcontact/views/contact/tmpl/default.php,160,4,2,2
components/comcontact/views/contact/view.vcf.php,147,4,2,2
/views/featured/tmpl/defaultitems.php,152,4,2,2
/comcontact/views/featured/view.html.php,63,2,1,1
components/comcontent/content.php,39,1,1,0
components/comcontent/controller.php,92,9,8,1
components/comcontent/controllers/article.php,32,4,3,1
components/comcontent/helpers/route.php,44,2,2,0
components/comcontent/models/archive.php,14,2,1,1
components/comcontent/models/articles.php,81,2,1,1
components/comcontent/models/categories.php,92,12,7,5
components/comcontent/models/category.php,32,2,1,1
components/comcontent/models/featured.php,44,2,1,1
components/comcontent/router.php,63,10,10,0
/comcontent/views/archive/tmpl/default.php,147,2,1,1
/comcontent/views/archive/view.html.php,196,1,1,0
/comcontent/views/article/tmpl/default.php,90,6,2,4
/views/article/tmpl/defaultlinks.php,202,2,0,2
/comcontent/views/categories/tmpl/default.php,69,2,1,1
/comcontent/views/categories/view.html.php,57,12,11,1
/comcontent/views/category/tmpl/blog.php,27,6,6,0
/comcontent/views/category/tmpl/blogitem.php,20,3,2,1
/comcontent/views/category/tmpl/default.php,20,3,2,1
/views/category/tmpl/defaultarticles.php,129,6,6,0
/comcontent/views/category/view.feed.php,,17,0,17
