files,LocFixing,ChurnFxing,AddedFixing,RemovedFixing
libs/Zend/Validate/File/FilesSize.php,316,2,1,1
libs/Zend/Validate/File/ImageSize.php,200,16,13,3
libs/Zend/Validate/File/MimeType.php,356,3,2,1
libs/Zend/Validate/File/Size.php,258,36,17,19
libs/Zend/Validate/File/Upload.php,109,37,34,3
libs/Zend/Validate/Hostname.php,259,5,3,2
libs/Zend/Validate/Ip.php,242,2,1,1
libs/Zend/Validate/Isbn.php,821,38,15,23
libs/Zend/Validate/NotEmpty.php,585,26,9,17
libs/Zend/Validate/PostCode.php,1770,4,2,2
libs/tcpdf/2dbarcodes.php,58,5,5,0
libs/tcpdf/barcodes.php,286,2,1,1
libs/tcpdf/pdf417.php,85,2,1,1
libs/tcpdf/qrcode.php,822,3,2,1
libs/tcpdf/tcpdf.php,303,2,1,1
libs/upgradephp/upgrade.php,94,23,21,2
plugins/API/API.php,106,4,2,2
plugins/API/Controller.php,195,4,2,2
plugins/Actions/API.php,122,21,3,18
plugins/Actions/Actions.php,49,6,3,3
plugins/CoreUpdater/Controller.php,142,19,9,10
plugins/ExampleUI/Controller.php,292,32,8,24
plugins/Goals/Goals.php,162,4,3,1
plugins/Installation/Controller.php,143,6,5,1
/tests/LanguagesManager.test.php,77,10,6,4
plugins/Live/API.php,1793,31,27,4
plugins/Login/Auth.php,51,2,1,1
plugins/Login/Controller.php,265,64,0,64
plugins/Login/tests/Login.test.php,753,23,19,4
plugins/MultiSites/Controller.php,201,3,2,1
plugins/PDFReports/API.php,218,12,6,6
plugins/PDFReports/tests/PDFReports.test.php,480,23,20,3
plugins/Referers/Referers.php,170,11,10,1
plugins/SecurityInfo/PhpSecInfo/PhpSecInfo.php,270,4,4,0
plugins/SecurityInfo/PhpSecInfo/Test/Test.php,301,2,1,1
plugins/SitesManager/API.php,59,1,0,1
/SitesManager/tests/SitesManager.test.php,82,2,1,1
plugins/UserSettings/API.php,151,1,1,0
/UserSettings/tests/UserSettings.test.php,252,14,12,2
plugins/UsersManager/Controller.php,233,4,2,2
/UsersManager/tests/UsersManager.test.php,658,5,2,3
plugins/VisitFrequency/API.php,165,23,20,3
plugins/VisitorGenerator/Controller.php,241,3,1,2
plugins/VisitsSummary/API.php,69,16,8,8
tests/core/ArchiveProcessing.test.php,259,4,2,2
tests/core/Common.test.php,159,30,30,0
tests/core/DataTable.test.php,543,6,3,3
tests/core/DataTable/Filter/Limit.test.php,110,4,0,4
tests/core/DataTable/Renderer.test.php,228,3,1,2
tests/core/Date.test.php,585,21,9,12
tests/core/IP.test.php,142,3,2,1
tests/core/Period.test.php,703,2,1,1
tests/core/Period/Range.test.php,377,25,12,13
tests/core/Piwik/serveStaticFile.test.php,300,2,0,2
tests/core/ReleaseCheckList.test.php,367,1,1,0
tests/core/ScheduledTime.test.php,304,7,6,1
tests/core/Tracker/Action.test.php,142,2,1,1
tests/integration/Integration.php,17982,10,2,8
tests/integration/Main.test.php,377,2,1,1
core/Db/Adapter/Pdo/Mssql.php,140,2,1,1
core/ErrorHandler.php,143,2,1,1
core/Segment.php,109,2,1,1
core/Tracker/Action.php,595,2,1,1
libs/pChart.1.27d/pChart/pChart.php,1810,19,18,1
libs/pChart.1.27d/pChart/pData.php,262,8,3,5
libs/sparkline/lib/Sparkline.php,727,141,48,93
misc/cron/archive.php,88,2,1,1
plugins/CustomVariables/CustomVariables.php,658,6,3,3
plugins/Goals/API.php,259,2,1,1
plugins/Goals/Controller.php,254,4,2,2
plugins/ImageGraph/API.php,1810,2,1,1
plugins/ImageGraph/ImageGraph.php,85,7,7,0
plugins/ImageGraph/ImageGraphObject.php,257,8,8,0
plugins/Referers/Controller.php,585,2,1,1
tests/core/Segment.test.php,228,2,1,1
core/API/DataTableManipulator/Flattener.php,83,13,13,0
core/API/ResponseBuilder.php,111,1,1,0
core/Config.php,229,1,1,0
/Filter/AddColumnsProcessedMetrics.php,53,2,1,1
core/PluginsFunctions/Sql.php,292,30,15,15
libs/Smarty/plugins/modifier.truncate.php,109,6,3,3
libs/pChart2.1.3/class/pData.class.php,554,17,17,0
libs/pChart2.1.3/class/pDraw.class.php,397,3,2,1
libs/pChart2.1.3/class/pImage.class.php,407,28,25,3
libs/pChart2.1.3/class/pPie.class.php,252,6,3,3
plugins/CoreAdminHome/API.php,133,2,1,1
/DataTableRowAction/RowEvolution.php,655,2,1,1
