class,classsize,classtype,bugsAftersmells,BugsBeforeSmells,FixingCommits,codechurn,commitsexhibting,v1.0.0,v1.4.0,v1.6.0,v1.8.0,v1.1.0,v2.0.0,v2.2.1,v2.3.0,v2.4.1,v2.6.1,v2.8.3,v2.11.2,v2.12.1,v2.14.0,v2.14.1,v2.15.0,v2.16.4,v2.16.5,v2.17.1,v2.18.0,v3.0.0,v3.1.1,v3.2.0,v3.2.1,v3.3.0,v3.4.0,v3.5.0,v3.5.1,v3.6.0,v3.7.0,v3.8.0,v3.8.1,v3.9.0,v3.9.1,v3.10.0,v3.12.0,v3.13.0,v3.13.1
core/Url.php,756,Large,67,22,7,1285,12,26,0,76,74,0,56,0,0,937,0,0,62,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
core/View.php,53,Small,64,16,5,216,9,16,17,21,0,91,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
core/ViewDataTable.php,565,Large,124,96,4,521,16,20,221,175,0,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/GenerateGraphData/ChartEvolution.php,29,Small,9,3,2,99,2,0,0,0,84,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
core/ViewDataTable/HtmlTable/Goals.php,204,Medium,26,10,5,617,5,16,133,65,12,391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
libs/HTML/QuickForm2/Node.php,693,Large,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
libs/PiwikTracker/PiwikTracker.php,342,Large,66,32,5,1105,9,290,71,0,194,419,0,0,0,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
libs/UserAgentParser/UserAgentParser.php,729,Large,45,10,3,217,4,0,156,46,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
libs/Zend/Auth/Adapter/Http.php,909,Large,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
libs/Zend/Auth/Adapter/Http/Resolver/File.php,85,Medium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
libs/Zend/Auth/Adapter/Ldap.php,528,Large,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
libs/Zend/Cache/Backend.php,268,Medium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
libs/Zend/Cache/Backend/File.php,85,Medium,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
libs/Zend/Cache/Backend/Libmemcached.php,484,Large,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
libs/Zend/Cache/Backend/Memcached.php,504,Large,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
libs/Zend/Cache/Backend/Sqlite.php,297,Medium,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
libs/Zend/Cache/Backend/Static.php,564,Large,6,1,1,68,1,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
libs/Zend/Cache/Backend/Test.php,413,Large,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
