modified_Smelly_Classes,classsize,classtype,BugsafterSmells,BugsbeforeSmells,fixingcommits,codechurn,commitsexhibiting,v2.0.2,v2.0.6,v2.1.3,v2.1.4,v2.2.3,v2.2.4,v2.3.9,v2.3.10,v2.5.0,v2.5.4,v2.5.6,v2.5.7,v2.6.11,v2.7.8,v2.8.8,v2.9.1,v2.9.3,v2.10.9,v2.10.14,v2.10.17,v2.10.19,v3.1.6,v3.3.4,v3.4.8,v3.5.3,v3.6.2
lib/Cake/Test/Case/Network/CakeRequestTest.php,2516,Large,28,12,4,297,5,0,38,15,0,0,0,205,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0
lib/Cake/Test/Case/Network/Email/CakeEmailTest.php,1499,Large,41,6,4,262,4,0,60,63,0,0,0,78,0,0,0,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0
lib/Cake/Test/Case/Network/Http/HttpSocketTest.php,1826,Large,30,3,2,68,2,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0
lib/Cake/Test/Case/Routing/DispatcherTest.php,1728,Large,15,1,1,209,1,0,0,209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lib/Cake/Test/Case/Routing/Route/CakeRouteTest.php,980,Large,8,4,2,159,2,0,0,30,0,0,0,0,0,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lib/Cake/Test/Case/Routing/RouterTest.php,2741,Large,9,2,1,24,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0
lib/Cake/Test/Case/Utility/InflectorTest.php,672,Large,2,1,1,8,1,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lib/Cake/Test/Case/Utility/ValidationTest.php,2911,Large,24,5,3,155,3,0,0,18,0,112,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0
lib/Cake/Test/Case/View/Helper/HtmlHelperTest.php,1535,Large,5,2,1,22,2,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lib/Cake/Test/Case/View/Helper/NumberHelperTest.php,110,Medium,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lib/Cake/Test/Case/View/Helper/TextHelperTest.php,301,Large,9,3,2,218,3,0,50,0,0,0,0,0,0,168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lib/Cake/Utility/ClassRegistry.php,370,Large,3,1,1,31,1,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lib/Cake/Utility/Debugger.php,850,Large,26,3,1,12,2,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lib/Cake/Utility/Folder.php,834,Large,13,1,1,64,1,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lib/Cake/Utility/Inflector.php,585,Large,25,8,3,55,4,0,0,0,0,0,0,18,0,15,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0
lib/Cake/Utility/Sanitize.php,269,Medium,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lib/Cake/Utility/Validation.php,1037,Large,34,3,1,44,1,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lib/Cake/View/Helper.php,260,Medium,25,1,1,26,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0
lib/Cake/View/Helper/HtmlHelper.php,1271,Large,26,4,3,405,3,0,0,109,0,0,0,0,0,81,215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lib/Cake/View/Helper/NumberHelper.php,149,Medium,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lib/Cake/View/Helper/TextHelper.php,348,Large,22,5,3,81,3,0,0,0,0,0,0,33,0,22,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0
lib/Cake/Console/Command/Task/ExtractTask.php,846,Large,40,5,3,448,3,0,0,220,0,0,0,32,196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
