modified_Smelly_Classes,LocFixing,ChurnFxing,AddedFixing,RemovedFixing
lib/outputlib.php,1055,4,2,2
mod/scorm/datamodels/aicclib.php,916,2,2,0
badges/renderer.php,1237,2,2,0
cache/classes/helper.php,866,4,2,2
comment/lib.php,696,2,1,1
course/modlib.php,1543,8,8,0
grade/grading/form/guide/guideeditor.php,969,2,1,1
grade/grading/form/guide/lib.php,969,2,1,1
grade/grading/form/guide/renderer.php,1485,4,3,1
grade/grading/form/rubric/renderer.php,369,11,7,4
grade/grading/form/rubric/rubriceditor.php,159,1,0,1
grade/querylib.php,1235,2,1,1
lib/conditionlib.php,93,17,11,6
lib/csslib.php,406,2,1,1
lib/form/filemanager.php,1559,2,1,1
mod/assign/db/upgrade.php,262,4,2,2
mod/assign/locallib.php,5346,2,1,1
auth/db/auth.php,2928,5,5,0
auth/email/auth.php,346,2,1,1
blog/locallib.php,1055,2,1,1
cache/classes/loaders.php,6509,6,3,3
cache/stores/memcache/lib.php,263,2,1,1
cache/stores/memcached/lib.php,617,2,1,1
cache/stores/mongodb/lib.php,430,6,3,3
course/format/lib.php,621,17,17,0
course/format/renderer.php,126,35,35,0
enrol/externallib.php,933,17,12,5
enrol/manual/externallib.php,123,31,16,15
lib/badgeslib.php,123,4,2,2
lib/coursecatlib.php,440,12,9,3
mod/assign/externallib.php,2928,2,1,1
mod/assign/gradingtable.php,800,2,1,1
question/engine/tests/helpers.php,800,2,1,1
question/type/randomsamatch/db/upgrade.php,218,7,4,3
user/editlib.php,2277,32,19,13
blocks/html/lib.php,6535,45,36,9
grade/import/lib.php,4329,65,65,0
grade/import/xml/lib.php,785,68,68,0
lib/classes/event/base.php,173,2,1,1
lib/htmlpurifier/HTMLPurifier/AttrDef.php,2630,10,10,0
lib/htmlpurifier/HTMLPurifier/AttrTransform.php,397,7,4,3
lib/htmlpurifier/HTMLPurifier/HTMLModule.php,163,19,11,8
lib/htmlpurifier/HTMLPurifier/Lexer/PH5P.php,1052,4,2,2
mod/assign/lib.php,1060,4,2,2
mod/lti/lib.php,608,12,8,4
user/profile/definelib.php,611,14,9,5
admin/renderer.php,2630,2,1,1
enrol/locallib.php,202,11,10,1
lib/dmllib.php,420,112,100,12
lib/externallib.php,637,19,17,2
lib/ldaplib.php,756,6,3,3
mod/url/lib.php,639,2,1,1
filter/urltolink/filter.php,680,2,1,1
lib/configonlylib.php,673,2,1,1
user/externallib.php,719,2,1,1
admin/tool/messageinbound/classes/manager.php,1076,27,19,8
course/externallib.php,801,44,18,26
lib/behat/lib.php,873,2,1,1
lib/classes/component.php,794,5,5,0
lib/gradelib.php,328,2,1,1
lib/myprofilelib.php,115,2,1,1
lib/statslib.php,591,2,1,1
lib/testing/classes/util.php,2930,2,1,1
mod/book/locallib.php,2932,56,30,26
mod/choice/lib.php,3900,6,1,5
mod/forum/externallib.php,1821,2,1,1
mod/wiki/classes/external.php,97,2,1,1
report/security/locallib.php,177,8,6,2
search/engine/solr/classes/engine.php,4375,4,2,2
auth/shibboleth/logout.php,926,2,1,1
filter/mathjaxloader/db/upgrade.php,894,34,33,1
mod/label/lib.php,1503,13,2,11
mod/quiz/classes/external.php,802,27,17,10
admin/tool/behat/cli/run.php,2616,22,4,18
admin/tool/behat/cli/util.php,2630,2,1,1
competency/classes/external/exporter.php,6626,2,1,1
competency/classes/persistent.php,663,14,10,4
competency/lib.php,1126,2,1,1
enrol/lti/db/upgrade.php,180,3,2,1
message/classes/api.php,1510,10,10,0
message/externallib.php,242,4,3,1
mod/assign/renderer.php,471,18,13,5
mod/folder/lib.php,3907,23,6,17
mod/glossary/classes/external.php,6628,6,3,3
mod/quiz/classes/structure.php,680,6,3,3
admin/tool/cohortroles/classes/api.php,2936,18,11,7
lib/authlib.php,723,7,6,1
lib/markdown/Markdown.php,899,2,1,1
lib/markdown/MarkdownExtra.php,806,21,18,3
lib/scssphp/Compiler.php,3905,19,9,10
lib/tcpdf/include/barcodes/datamatrix.php,1264,6,5,1
lib/tcpdf/tcpdf.php,592,6,4,2
mod/lti/db/upgrade.php,32,2,1,1
question/type/multianswer/db/upgrade.php,4495,2,1,1
